S.No.,Local Body Code,Local Body Version,Local Body Name      (In English),Local Body Name (In Local),Local Body Type Code,Local Body Type Name,Parent Local Body Code,
11077,131752,1,KANCANPUR,KANCANPUR,3,Village Panchayat,4102,
11078,146515,1,KANCHANKHEDI,????????,3,Village Panchayat,4314,
11079,153303,1,KANCHANKHEDI,,3,Village Panchayat,4398,
11080,134000,1,KANCHANPUR,KANCHANPUR,3,Village Panchayat,4136,
11081,138234,1,KANCHANPUR,???????,3,Village Panchayat,4197,
11082,146921,1,KANCHANPUR,???????,3,Village Panchayat,4319,
11083,148399,1,KANCHANPUR,???????,3,Village Panchayat,4338,
11084,148840,3,KANCHANPUR,KANCHANPUR,3,Village Panchayat,4343,
11085,150459,1,KANCHANPUR,KANCHANPUR,3,Village Panchayat,4362,
11086,140863,5,KANCHANPURI,????????,3,Village Panchayat,4234,
11087,138298,1,KANCHANPUR MAL,??????? ???,3,Village Panchayat,4198,
11088,149503,1,KANCHNA,KANCHNA,3,Village Panchayat,4350,
11089,153882,1,KANCHODAR,????????,3,Village Panchayat,4404,
11090,147996,1,KANCHRI (P),KANCHRI (P),3,Village Panchayat,4333,
11091,153726,2,KANCNPUR,???????,3,Village Panchayat,4402,
11092,141122,1,KANDA,?????,3,Village Panchayat,4239,
11093,132162,1,KANDAI,????,3,Village Panchayat,4107,
11094,139857,1,KANDAI KALAN,KANDAI KALAN,3,Village Panchayat,4221,
11095,149042,1,KANDA KHEDI,?????????,3,Village Panchayat,4345,
11096,148501,1,KANDAR,????,3,Village Panchayat,4339,
11097,132509,1,KANDARA,???????,3,Village Panchayat,4112,
11098,145900,1,KANDARA KOTRI,KANDARA KOTRI,3,Village Panchayat,4307,
11099,147547,1,KANDARI,??????,3,Village Panchayat,4326,
11100,137415,1,KANDARIYA,????????,3,Village Panchayat,4182,
11101,153635,1,KANDARIYA,,3,Village Panchayat,4401,
11102,148754,1,KANDAWA,?????,3,Village Panchayat,4342,
11103,134714,1,KANDELA,KANDELA,3,Village Panchayat,4145,
11104,146221,1,KANDELI,KANDELI,3,Village Panchayat,4310,
11105,151688,2,KANDER,?????,3,Village Panchayat,4379,
11106,146587,1,KANDERWASA,??????????,3,Village Panchayat,4315,
11107,144250,1,KANDHRAPUR,????????,3,Village Panchayat,4286,
11108,144328,1,KANDHRAPUR,????????,3,Village Panchayat,4287,
11109,146991,1,KANDHWAR,??????,3,Village Panchayat,4320,
11110,152241,1,KANDHWAR,??????,3,Village Panchayat,4386,
11111,139117,3,KANDIKHEDA,?????????,3,Village Panchayat,4210,
11112,150042,2,KANDIPAR,????????,3,Village Panchayat,4357,
11113,146303,1,KANDIYA,???????,3,Village Panchayat,4311,
11114,148081,1,KANDLA (P),?????,3,Village Panchayat,4334,
11115,132984,1,KANDRA,????????,3,Village Panchayat,4120,
11116,139802,1,KANDRAKHEDI,KANDRAKHEDI,3,Village Panchayat,4220,
11117,132510,3,KANDRIKALAN,??????????,3,Village Panchayat,4112,
11118,132511,4,KANDRIKHURD,????????????,3,Village Panchayat,4112,
11119,152720,1,KANDVA,KANDVA,3,Village Panchayat,4391,
11120,147548,1,KANDWA,?????,3,Village Panchayat,4326,
11121,145690,2,KANED,KANED,3,Village Panchayat,4305,
11122,137326,1,KANEHERI,?????,3,Village Panchayat,4180,
11123,137176,2,KANEHRIYA,?????????,3,Village Panchayat,4178,
11124,133843,1,KANERA,?????,3,Village Panchayat,4134,
11125,134397,1,KANERA,,3,Village Panchayat,4141,
11126,141188,2,KANERA,?????,3,Village Panchayat,4240,
11127,152877,1,KANERA,KANERA,3,Village Panchayat,4393,
11128,147744,2,KANERA GOND (P),?????????,3,Village Panchayat,4329,
11129,147997,1,KANERA NIKHAR (P),KANERA NIKHAR (P),3,Village Panchayat,4333,
11130,146588,3,KANERI,?????,3,Village Panchayat,4315,
11131,138186,1,KANERI MAL,????? ???,3,Village Panchayat,4196,
11132,149202,1,KANERIYA,???????,3,Village Panchayat,4347,
11133,143306,1,KANGHATTI,??????,3,Village Panchayat,4274,
11134,152552,1,KANGI,????,3,Village Panchayat,4389,
11135,154345,2,KANGIKHEDI,?????????,3,Village Panchayat,4410,
11136,150591,2,KANGNIKHEDA,??????????,3,Village Panchayat,4364,
11137,135567,1,KANGRA(SINDRAIMAU),,3,Village Panchayat,4157,
11138,146661,1,KANGSI,??????,3,Village Panchayat,4316,
11139,132371,2,KANHADGAON,??????????,3,Village Panchayat,4110,
11140,132441,1,KANHADGAON,??????????,3,Village Panchayat,4111,
11141,133659,1,KANHAKHAPA,???????????,3,Village Panchayat,4131,
11142,150043,1,KANHANPIPRIYA,?????????????,3,Village Panchayat,4357,
11143,143904,2,KANHAR,??????,3,Village Panchayat,4281,
11144,135800,1,KANHARGAON,KANHARGAON,3,Village Panchayat,4160,
11145,143006,1,KANHARGAON,KANHARGAON,3,Village Panchayat,4269,
11146,144090,1,KANHARGAON,???????????,3,Village Panchayat,4284,
11147,149504,1,KANHARGAON,KANHARGAON,3,Village Panchayat,4350,
11148,150044,1,KANHARGAON,?????????,3,Village Panchayat,4357,
11149,134152,1,KANHARI,???????,3,Village Panchayat,4138,
11150,138187,1,KANHARI,???????,3,Village Panchayat,4196,
11151,142670,1,KANHARI KALA,??????????,3,Village Panchayat,4263,
11152,134396,3,KANHASAINYA,,3,Village Panchayat,4141,
11153,139894,1,KANHAWAR,KANHAWAR,3,Village Panchayat,4222,
11154,148400,1,KANHAWARA,????????,3,Village Panchayat,4338,
11155,133602,1,KANHAYAVADI,????????????,3,Village Panchayat,4130,
11156,133783,1,KANHEGAON,??????????,3,Village Panchayat,4133,
11157,132007,2,KANHERA,KANHERA,3,Village Panchayat,4105,
11158,150045,1,KANHIWADA,??????????,3,Village Panchayat,4357,
11159,141880,2,Kanhwara,???&zwj;?????,3,Village Panchayat,4251,
11160,148236,1,KANIKHEDI KALAN(P),????????????,3,Village Panchayat,4336,
11161,134002,1,KANIPURA,KANIPURA,3,Village Panchayat,4136,
11162,145601,2,KANIWADA,????????,3,Village Panchayat,4304,
11163,132309,3,KANIYA,?????,3,Village Panchayat,4109,
11164,136071,1,KANIYAGHATPATI,???????????,3,Village Panchayat,4164,
11165,150871,1,KANJA,?????,3,Village Panchayat,4368,
11166,153114,1,KANJAD,,3,Village Panchayat,4396,
11167,132598,1,KANJAI,????,3,Village Panchayat,4113,
11168,139116,2,KANJAI,????,3,Village Panchayat,4210,
11169,140621,1,KANJAI,????,3,Village Panchayat,4231,
11170,144251,1,KANJAI,????,3,Village Panchayat,4286,
11171,134836,1,kANJARA,kANJARA,3,Village Panchayat,4147,
11172,144640,1,KANJARDA,????????,3,Village Panchayat,4291,
11173,141426,1,KANJAWANIKHAS,???????? ???,3,Village Panchayat,4244,
11174,154044,1,KANJELA,KANJELA,3,Village Panchayat,4406,
11175,147677,2,KANJERA (P),??????,3,Village Panchayat,4328,
11176,147620,1,KANJIA,KANJIA,3,Village Panchayat,4327,
11177,152878,1,KANJNA,KANJNA,3,Village Panchayat,4393,
11178,153948,1,KANJNA,?????,3,Village Panchayat,4405,
11179,136659,1,KANJOULI,??????,3,Village Panchayat,4172,
11180,136265,1,KANJRA,?????,3,Village Panchayat,4167,
11181,137809,1,KANJROTA,???????,3,Village Panchayat,4189,
11182,152167,1,KANJWAR,??????,3,Village Panchayat,4385,
11183,137113,2,KANKADDA,???????,3,Village Panchayat,4177,
11184,150663,1,KANKADKHEDA,?????????,3,Village Panchayat,4365,
11185,149203,1,KANKAD KHEDA,?????????,3,Village Panchayat,4347,
