Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name
249586,Forbesganj,35774,14,Forbesganj (M) - Ward No.14
249672,Jehanabad,1298816,19,Jehanabad (M) - Ward No.19
276643,Bihat,1298223,7,Bihat (M) - Ward No.7
249674,Daudnagar,1298091,26,Daudnagar (M) - Ward No.26
249670,Sasaram,36730,13,Sasaram (M) - Ward No.13
249625,Khagaria,1299331,19,Khagaria (M) - Ward No.19
276642,Benipur,1298061,21,Benipur (M) - Ward No. 21
249625,Khagaria,36217,5,Khagaria (M) - Ward No.5
249599,Saharsa,59380,26,Saharsa (M) - Ward No.26
249661,Behea,1298764,11,Behea (NP) - Ward No.11
249600,Darbhanga,35918,1,Darbhanga (M Corp.) - Ward No.1
249574,Belsand,35652,7,Belsand (NP) - Ward No.7
249645,Rajgir,4908,16,Rajgir (NP) - Ward No.16
249595,Katihar,62571,20,Katihar (M Corp.) - Ward No.20
249662,Jagdishpur,36646,2,Jagdishpur (NP) - Ward No.2
249652,Masaurhi,1298598,20,Masaurhi (M) - Ward No.20
249650,Patna,1298519,50,Patna (M Corp.) - Ward No.50
249617,Hajipur,36126,7,Hajipur (M) - Ward No.7
277134,Kahalgaon,1299385,1,Kahalgaon (NP) - Ward No.1
249650,Patna,36441,31,Patna (M Corp.) - Ward No.31
249595,Katihar,62573,22,Katihar (M Corp.) - Ward No.22
249575,Sitamarhi,35666,11,Sitamarhi (M) - Ward No.11
249656,Barh,1298215,26,Barh (M) - Ward No.26
249565,Raxaul,35590,10,Raxaul Bazar (M) - Ward No.10
249672,Jehanabad,1298828,31,Jehanabad (M) - Ward No.31
249672,Jehanabad,1298825,28,Jehanabad (M) - Ward No.28
265438,Ekma Bazar,1298369,11,Ekma Bazar (NP) - Ward No.11
276643,Bihat,1298218,2,Bihat (M) - Ward No.02
249585,Jogabani,1298099,11,Jogabani (NP) - Ward No.11
249650,Patna,1298530,61,Patna (M Corp.) - Ward No.61
249642,Biharsharif,59517,4,Bihar (M) - Ward No.4
249603,Muzaffarpur,59406,24,Muzaffarpur (M Corp.) - Ward No.24
290059,Sursand,1306788,14,Sursand(NP)-Ward No.14
249592,Purnea,35855,5,Purnia (M Corp.) - Ward No.5
249572,Sheohar,62522,3,Sheohar (NP) - Ward No.3
276643,Bihat,1298242,26,Bihat (M) - Ward No.26
249621,Dalsinghsarai,1298078,14,Dalsinghsarai (NP) - Ward No.14
249672,Jehanabad,36775,12,Jehanabad (M) - Ward No.12
249571,Chakia,35631,1,Chakia (NP) - Ward No.1
249686,Hisua,37274,9,Hisua (NP) - Ward No.9
249573,Bairgania,1299005,21,Bairgania (NP) - Ward No.21
277136,Balia,1298352,23,Balia (NP) - Ward No.23
249600,Darbhanga,35945,28,Darbhanga (M Corp.) - Ward No.28
249680,Gaya,59981,34,Gaya (M Corp.) - Ward No.34
249659,Arrah,1298013,35,Arrah (M Corp.) - Ward No.35
249581,Ghoghardiha,35735,8,Ghoghardiha (NP) - Ward No.8
249632,Amarpur,36254,2,Amarpur (NP) - Ward No.2
