Local Body Code,Local Body Name,Local Body Type,District Level Parent Name,Intermediate Level Parent Name,Ward Code,Ward Number,Ward Name,Ward Name (In Local),
234501,PAHALGAON,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463574,4,Pahalgaon-4,
234501,PAHALGAON,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463575,5,Pahalgaon-5,
234501,PAHALGAON,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463576,6,Pahalgaon-6,
234501,PAHALGAON,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463577,7,Tugapur-1,
234501,PAHALGAON,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463578,8,Tugapur-2,
234501,PAHALGAON,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463579,9,Tugapur-3,
234501,PAHALGAON,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463580,10,Tugapur-4,
234501,PAHALGAON,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463581,11,Tugapur-5,
234502,POKADERA,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463622,1,Pokadera-1,
234502,POKADERA,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463623,2,Pokadera-2,
234502,POKADERA,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463624,3,Pokadera-3,
234502,POKADERA,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463625,4,Pokadera-4,
234502,POKADERA,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463626,5,Pokadera-5,
234502,POKADERA,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463627,6,Pokadera-6,
234502,POKADERA,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463628,7,Danapur-1,
234502,POKADERA,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1463629,8,Danapur-2,
234503,RAMPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1464917,1,Webi-1,
234503,RAMPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1464918,2,Webi-2,
234503,RAMPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1464919,3,Karmatang-1,
234503,RAMPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1464920,4,Karmatang-2,
234503,RAMPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1464921,5,Karmatang-3,
234503,RAMPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1464922,6,Karmatang-4,
234503,RAMPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1464923,7,Lucknow-1,
234503,RAMPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1464924,8,Lucknow-2,
234503,RAMPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1464925,9,Lataw,
234503,RAMPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1464926,10,Deopur-1,
234503,RAMPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1464927,11,Deopur-2,
234503,RAMPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1464928,12,Rampur-1,
234503,RAMPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1464929,13,Rampur-2,
234504,SWADESHNAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1468008,1,Swadeshnagar-1,
234504,SWADESHNAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1468009,2,Swadeshnagar-2,
234504,SWADESHNAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1468010,3,Swadeshnagar-3,
234504,SWADESHNAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1468011,4,Swadeshnagar-4,
234504,SWADESHNAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1468012,5,Swadeshnagar-5,
234504,SWADESHNAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1468013,6,Swadeshnagar-6,
234504,SWADESHNAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1468014,7,Shantipur-1,
234504,SWADESHNAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,1468015,8,Shantipur-2,
