Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name
272884,Sreekandapuram,1294205,30,Nidiyenga Kavala
272901,Kondotty,1295182,24,N H Colony
252170,Malappuram,1295232,33,KOLMANNA
252108,Kasaragod,76318,28,THALANGARA K K PURAM
252149,Thalassery,56156,15,KUNHAPARAMB
272883,Kattappana,1293966,30,Government College - Ward No. 30
252174,Shoranur,76458,11,THATHAMKODE
272903,Tirurangadi,1295383,11,Soudabad
252194,Thrissur,75863,22,CHELAKOTTUKARA
252194,Thrissur,75860,19,KRISHNAPURAM
252169,Manjeri,50132,5,CHERANI
252248,Kayamkulam,76610,30,Kayamkulam (M) - Ward No.30
252247,Alappuzha,77883,37,Alappuzha (M) - Ward No.37
252255,Kollam,55986,26,Ammannada
272907,Mannarkad,1294463,4,Koduvalikundu
259710,Nilambur,1295278,28,CHAKKALAKUTHU
272911,Sulthanbathery,1294621,25,Pallikki
252248,Kayamkulam,76507,4,Kayamkulam (M) - Ward No.4
252160,Kozhikode,50013,23,Nelikode
259707,Karunagappally,1294358,12,PULLIMAN LIBRARY
252205,Chalakudy,76702,8,Parakottikal Temple
252181,Chavakkad,77917,19,Civil Station
272902,Valanchery,1295416,5,Karad
252247,Alappuzha,77876,30,Alappuzha (M) - Ward No.30
252194,Thrissur,75854,13,KIZHAKKUMPATTUKKARA
252125,Kannur,75596,36,Kizhunna
259708,Thrikkakara,1295128,29,VAZHAKKALA EAST
252211,Aluva,49286,2,GURUMANDIRAM
272915,Anthur,1294209,4,Mundapram
272884,Sreekandapuram,1294201,26,Sreekantapuram
272903,Tirurangadi,1295387,15,Kaprad
252170,Malappuram,56339,4,KALLADIMUKKU
272912,Parappanangadi,1295321,38,Neduva
272885,Panoor,1294150,22,Kidanji
272892,Erattupetta,1293814,13,Mulanthanam - Ward No. 13
272899,Ramanattukara,1294865,2,Karimkallayi
252125,Kannur,75593,33,Edakkadu
272885,Panoor,1294151,23,Puthussery
252227,Thrippunithura,75995,3,NORTH VYMEETHI
252252,Pathanamthitta,76740,16,Pathanamthitta (M) - Ward No.16
259707,Karunagappally,1294374,28,OTTATHILMUKKU
252238,Kottayam,76196,19,COLLECTORATE - Ward No.19
252200,Kodungallur,77994,5,Town Hall
259708,Thrikkakara,1295114,15,KAKKANADU HEALTH CENTRE
252125,Kannur,49684,7,Podikundu
252261,Neyyattinkara,50313,35,KAVALAKULAM
252239,Changanassery,77741,22,PANACHIKAV KSHETHRAM - Ward No.22
252233,Thodupuzha,1293976,34,RIVER VIEW - Ward No.34
272884,Sreekandapuram,1294187,12,Eichery
272905,Pattambi,1294435,4,Kalappara
252110,Kanhangad,76236,9,A C NAGAR
272883,Kattappana,1293965,29,Valiyakam - Ward No. 29
252224,Kalamassery,49583,11,PIPELINE
252110,Kanhangad,76257,30,OZHINJAVALAPPU
252172,Tirur,75788,16,VARIYATHARA
259710,Nilambur,1295273,23,NEDUMUNDAKUNNU
252112,Taliparamba,49344,10,AZAD NAGAR
252260,Thiruvananthapuram,56382,28,Thycaud
